n213	n163	25.9	9.93	21
n62	n25	62.4	3.06e-95	338
n62	n23	63.3	7.52e-94	334
n62	n10	62.5	4.88e-93	331
n62	n28	59.1	7.54e-86	307
n62	n33	59.0	2.87e-85	305
n62	n34	56.7	8.63e-82	294
n62	n32	54.4	1.92e-81	292
n62	n42	52.6	1.52e-78	283
n62	n58	54.8	3.39e-78	282
n62	n7	52.3	3.18e-76	275
n62	n18	50.7	1.74e-74	269
n62	n21	52.1	2.13e-72	262
n62	n47	52.1	2.13e-72	262
n62	n4	50.0	1.38e-71	260
n62	n59	50.4	6.85e-71	257
n62	n19	47.7	3.4e-70	255
n62	n41	50.7	2.88e-69	252
n62	n1	50.2	4.91e-69	251
n62	n36	50.0	1.43e-68	250
n62	n51	48.5	3.18e-68	248
n62	n61	47.7	1.02e-66	243
n62	n60	47.8	1.13e-65	240
n62	n20	45.9	2.14e-64	236
n62	n43	40.7	7.88e-51	191
n62	n50	34.7	8.75e-34	134
n62	n40	30.1	1.77e-18	83
n62	n38	26.5	2.17e-16	76
n62	n17	34.1	4.53e-06	42
n62	n39	24.7	3.83e-05	39
n62	n49	29.3	0.0021	33
n62	n49	28.8	0.00468	32
n62	n37	31.8	0.0136	30
n62	n39	25.0	0.0232	30
n62	n3	30.7	4.85	22
n61	n60	73.1	1.53e-138	482
n61	n19	67.6	3.31e-125	438
n61	n7	65.9	2.01e-122	429
n61	n36	62.1	5.49e-104	367
n61	n51	57.5	2.55e-101	359
n61	n59	53.1	1.4e-91	326
n61	n20	54.6	4.51e-90	321
n61	n42	53.7	6.1e-87	311
n61	n18	46.0	5.17e-78	281
n61	n47	47.3	2.25e-73	266
n61	n21	47.3	2.25e-73	266
n61	n4	46.2	2.94e-73	265
n61	n1	50.6	3.84e-73	265
n61	n22	47.3	3.04e-70	255
n61	n27	47.3	3.04e-70	255
n61	n52	49.8	1.51e-69	253
n61	n41	42.4	9.78e-69	250
n61	n24	43.7	3.72e-68	248
n61	n53	47.7	6.34e-68	248
n61	n16	48.7	1.41e-67	247
n61	n56	46.3	7.01e-67	244
n61	n23	43.3	2.66e-66	242
n61	n57	45.5	5.93e-66	241
n61	n30	46.6	1.01e-65	240
n61	n46	46.6	1.01e-65	240
n61	n11	46.6	1.01e-65	240
n61	n44	46.6	1.01e-65	240
n61	n15	46.6	1.01e-65	240
n61	n14	42.7	1.32e-65	240
n61	n29	47.0	1.32e-65	240
n61	n45	42.7	1.32e-65	240
n61	n31	46.6	2.25e-65	239
n61	n12	46.6	2.25e-65	239
n61	n8	46.2	2.94e-65	239
n61	n54	45.9	3.85e-65	238
n61	n25	42.3	3.85e-65	238
n61	n55	45.3	5.02e-65	238
n61	n26	45.9	1.12e-64	237
n61	n2	45.9	1.12e-64	237
n61	n6	45.2	1.46e-64	236
n61	n13	45.9	4.25e-64	235
n61	n10	46.2	5.55e-64	235
n61	n33	46.9	8.02e-63	231
n61	n32	43.3	8.87e-62	227
n61	n43	46.5	6.35e-60	221
n61	n34	42.8	1.42e-59	220
n61	n5	41.0	7.02e-59	218
n61	n9	42.9	1.56e-58	216
n61	n28	40.1	5.57e-56	208
n61	n58	38.1	5.21e-54	201
n61	n50	31.7	7.82e-34	134
n61	n40	26.4	1.13e-24	104
n61	n3	26.1	7.37e-08	48
n61	n37	28.7	4.04e-06	42
n61	n49	27.5	7.63e-05	38
n60	n19	66.8	7.1e-123	430
n60	n7	64.6	1.39e-118	416
n60	n36	62.6	1.14e-104	370
n60	n51	61.8	1.76e-97	346
n60	n59	52.8	6.48e-92	327
n60	n20	49.2	1e-84	304
n60	n42	52.1	2.23e-84	302
n60	n1	53.2	2.92e-76	275
n60	n4	45.6	1.23e-74	270
n60	n47	49.4	2.4e-70	256
n60	n21	49.4	2.4e-70	256
n60	n16	49.4	6.97e-70	254
n60	n52	50.6	9.1e-70	254
n60	n18	42.7	2.03e-69	253
n60	n24	44.5	3.46e-69	252
n60	n53	48.5	5.9e-69	251
n60	n41	44.5	1.31e-68	250
n60	n11	47.8	1.45e-67	247
n60	n30	47.8	1.45e-67	247
n60	n15	47.8	1.45e-67	247
n60	n44	47.8	1.45e-67	247
n60	n46	47.8	1.45e-67	247
n60	n8	47.4	4.23e-67	245
n60	n22	48.5	7.21e-67	244
n60	n27	48.5	7.21e-67	244
n60	n26	47.0	1.61e-66	243
n60	n12	47.4	2.1e-66	243
n60	n14	47.4	2.1e-66	243
n60	n45	47.4	2.1e-66	243
n60	n31	47.4	2.1e-66	243
n60	n29	47.4	3.58e-66	242
n60	n13	47.0	4.68e-66	242
n60	n23	48.1	6.11e-66	241
n60	n25	47.0	6.11e-66	241
n60	n10	47.0	1.04e-65	240
n60	n6	48.1	5.17e-65	238
n60	n56	45.6	3.35e-64	235
n60	n57	45.2	4.38e-64	235
n60	n55	45.0	3.7e-63	232
n60	n33	48.5	8.25e-63	231
n60	n9	44.4	6.99e-62	228
n60	n2	44.3	1.01e-60	224
n60	n54	44.3	1.01e-60	224
n60	n34	42.8	1.46e-59	220
n60	n43	45.5	2.49e-59	219
n60	n32	44.0	5.54e-59	218
n60	n28	40.5	7.99e-58	214
n60	n5	41.9	2.33e-57	213
n60	n58	37.7	5.93e-53	198
n60	n50	32.1	2.86e-31	126
n60	n40	25.8	1.09e-22	97
n60	n38	30.4	9.55e-19	84
n60	n3	27.0	1.21e-05	41
n60	n35	25.4	1.58e-05	40
n60	n37	24.8	0.000103	38
n60	n49	26.0	0.000175	37
n59	n51	65.9	1.77e-107	379
n59	n20	58.8	6.51e-102	361
n59	n36	55.7	1.19e-95	340
n59	n7	53.0	7.71e-95	337
n59	n19	52.2	4.38e-90	321
n59	n4	51.2	1.46e-85	306
n59	n42	51.4	4.24e-85	305
n59	n18	51.0	1.16e-82	297
n59	n47	50.5	8.57e-78	280
n59	n21	50.5	8.57e-78	280
n59	n1	49.7	8.02e-76	274
n59	n41	45.7	1.2e-71	260
n59	n15	46.5	2.67e-71	259
n59	n29	46.2	2.67e-71	259
n59	n25	47.1	2.67e-71	259
n59	n44	46.5	2.67e-71	259
n59	n46	46.5	2.67e-71	259
n59	n23	46.9	3.49e-71	258
n59	n27	46.4	4.55e-71	258
n59	n22	46.4	4.55e-71	258
n59	n45	46.7	5.95e-71	258
n59	n14	46.7	5.95e-71	258
n59	n30	49.1	4.26e-69	252
n59	n11	49.1	4.26e-69	252
n59	n31	48.3	5.57e-69	251
n59	n12	48.3	5.57e-69	251
n59	n26	49.1	7.27e-69	251
n59	n13	48.7	2.11e-68	249
n59	n43	47.4	8.04e-68	247
n59	n8	47.7	1.37e-67	247
n59	n16	47.3	1.37e-67	247
n59	n33	45.3	5.21e-67	245
n59	n10	48.3	5.21e-67	245
n59	n57	45.8	1.52e-66	243
n59	n56	45.5	5.76e-66	241
n59	n55	45.5	9.82e-66	240
n59	n53	47.0	1.28e-65	240
n59	n24	42.8	4.88e-65	238
n59	n6	44.4	1.85e-64	236
n59	n34	44.9	3.16e-64	235
n59	n5	44.9	9.19e-64	234
n59	n54	44.9	2.05e-63	233
n59	n52	47.0	2.05e-63	233
n59	n2	44.5	7.78e-63	231
n59	n9	39.9	3.38e-58	215
n59	n32	39.9	3.17e-56	209
n59	n58	39.0	2.05e-55	206
n59	n28	37.1	7.3e-53	198
n59	n50	32.1	1.53e-34	137
n59	n40	24.4	8.15e-20	88
n59	n38	24.6	2.9e-17	79
n59	n37	25.0	0.00693	32
n59	n49	24.8	0.0587	28
n59	n17	21.3	1.89	23
n58	n5	60.3	6.13e-92	327
n58	n6	58.7	3.36e-90	322
n58	n56	58.3	5.75e-82	294
n58	n57	57.9	3.73e-81	292
n58	n15	51.5	1.08e-80	290
n58	n44	51.5	1.08e-80	290
n58	n46	51.5	1.08e-80	290
n58	n29	51.5	3.16e-80	289
n58	n45	51.9	7.03e-80	287
n58	n14	51.9	7.03e-80	287
n58	n25	51.9	9.18e-80	287
n58	n55	56.8	1.2e-79	287
n58	n53	56.0	5.95e-79	284
n58	n27	49.7	2.26e-78	282
n58	n22	49.7	2.26e-78	282
n58	n23	49.7	2.95e-78	282
n58	n16	53.6	8.59e-78	280
n58	n30	54.0	2.5e-77	279
n58	n11	54.0	2.5e-77	279
n58	n26	54.0	5.57e-77	278
n58	n52	55.4	5.57e-77	278
n58	n8	54.0	9.5e-77	277
n58	n13	53.6	2.76e-76	275
n58	n12	53.6	3.61e-76	275
n58	n31	53.6	3.61e-76	275
n58	n24	49.0	6.16e-76	274
n58	n10	53.6	1.37e-75	273
n58	n9	49.3	8.89e-75	270
n58	n54	53.3	4.88e-73	265
n58	n2	52.7	7.05e-72	261
n58	n33	49.6	8.06e-68	247
n58	n28	47.8	3.06e-67	245
n58	n34	48.5	2.87e-65	239
n58	n18	43.8	8.34e-65	237
n58	n47	43.1	1.42e-64	236
n58	n21	43.1	1.42e-64	236
n58	n32	43.9	1.86e-64	236
n58	n1	42.9	5.41e-64	235
n58	n42	42.4	2.97e-62	229
n58	n4	40.8	5.06e-62	228
n58	n7	41.8	5.24e-59	218
n58	n51	40.9	1.17e-58	217
n58	n36	41.9	6.4e-57	211
n58	n41	40.8	2.69e-55	206
n58	n19	35.9	3.29e-53	199
n58	n20	36.9	1.21e-47	180
n58	n43	35.7	8.67e-46	174
n58	n50	30.5	9.97e-26	107
n58	n40	27.3	2.08e-15	73
n58	n3	22.8	0.0202	30
n58	n35	25.2	0.0345	29
n58	n17	24.7	1.45	24
n58	n37	25.8	9.4	21
n57	n56	98.4	2.75e-149	518
n57	n55	98.4	3.59e-149	517
n57	n54	63.5	2.79e-93	332
n57	n53	62.9	5.27e-92	327
n57	n2	63.1	6.88e-92	327
n57	n52	62.7	5.83e-91	324
n57	n5	59.2	6.03e-88	314
n57	n6	59.9	7.87e-88	314
n57	n24	57.1	1.14e-86	310
n57	n9	58.1	1.06e-84	303
n57	n16	56.8	2.9e-82	295
n57	n11	55.7	6.04e-80	287
n57	n30	55.7	6.04e-80	287
n57	n26	56.1	1.03e-79	287
n57	n15	55.7	1.35e-79	286
n57	n46	55.7	1.35e-79	286
n57	n44	55.7	1.35e-79	286
n57	n25	55.5	8.73e-79	283
n57	n12	55.1	8.73e-79	283
n57	n31	55.1	8.73e-79	283
n57	n23	55.5	1.14e-78	283
n57	n8	55.3	1.94e-78	282
n57	n14	55.1	1.94e-78	282
n57	n45	55.1	1.94e-78	282
n57	n29	55.9	2.54e-78	282
n57	n13	54.9	2.54e-78	282
n57	n27	54.8	9.65e-78	280
n57	n22	54.8	9.65e-78	280
n57	n10	54.5	1.82e-76	276
n57	n28	53.3	9.98e-75	270
n57	n18	49.4	3.21e-73	265
n57	n42	48.1	2.3e-71	259
n57	n7	48.1	2.15e-69	252
n57	n32	47.1	4.8e-69	251
n57	n51	46.4	4.8e-69	251
n57	n21	47.9	4.06e-68	248
n57	n47	47.9	4.06e-68	248
n57	n4	46.3	2.91e-66	242
n57	n1	47.9	3.8e-66	242
n57	n36	46.8	3.22e-65	238
n57	n19	42.9	1.04e-63	233
n57	n20	43.2	2.16e-61	226
n57	n33	47.1	2.39e-60	222
n57	n41	43.8	4.5e-59	218
n57	n34	43.0	6.09e-56	208
n57	n43	36.9	8.81e-47	177
n57	n50	30.8	5.94e-27	111
n57	n40	27.5	3.73e-21	92
n57	n38	27.6	6.37e-13	65
n57	n3	27.0	5.78e-06	42
n57	n35	27.5	9.85e-06	41
n57	n17	24.7	0.000142	37
n57	n49	28.8	0.000922	34
n57	n37	31.0	0.00781	31
n57	n48	25.4	0.428	25
n57	n9	29.3	1.25	24
n56	n55	97.7	3.04e-148	514
n56	n54	63.5	1.64e-93	332
n56	n2	63.1	4.03e-92	328
n56	n53	62.5	6.88e-92	327
n56	n52	62.3	7.61e-91	324
n56	n5	59.2	6.03e-88	314
n56	n6	59.9	7.87e-88	314
n56	n24	57.1	1.94e-86	309
n56	n9	59.3	7.37e-86	307
n56	n16	57.6	5.84e-83	297
n56	n11	54.9	1.76e-79	286
n56	n30	54.9	1.76e-79	286
n56	n26	55.3	3e-79	285
n56	n15	55.0	3.92e-79	285
n56	n46	55.0	3.92e-79	285
n56	n44	55.0	3.92e-79	285
n56	n12	54.7	1.94e-78	282
n56	n25	55.1	1.94e-78	282
n56	n31	54.7	1.94e-78	282
n56	n14	54.8	4.33e-78	281
n56	n45	54.8	4.33e-78	281
n56	n8	54.6	5.66e-78	281
n56	n27	54.8	5.66e-78	281
n56	n13	54.5	5.66e-78	281
n56	n22	54.8	5.66e-78	281
n56	n29	55.5	5.66e-78	281
n56	n23	55.1	9.65e-78	280
n56	n10	53.8	5.29e-76	274
n56	n28	54.5	6.91e-76	274
n56	n18	49.8	2.46e-73	265
n56	n42	48.5	7.91e-72	260
n56	n7	48.5	2.15e-69	252
n56	n21	48.7	4.8e-69	251
n56	n47	48.7	4.8e-69	251
n56	n51	46.4	8.19e-69	250
n56	n32	46.7	2.38e-68	249
n56	n1	49.0	1.18e-67	247
n56	n4	47.4	2.02e-67	246
n56	n36	47.6	1.71e-66	243
n56	n19	43.7	1.22e-64	236
n56	n20	43.5	2.82e-61	225
n56	n33	47.5	1.83e-60	223
n56	n41	44.1	4.5e-59	218
n56	n34	43.0	1.77e-55	206
n56	n43	37.3	5.16e-47	178
n56	n50	31.6	7.01e-28	114
n56	n40	27.9	3.73e-21	92
n56	n38	28.1	3.73e-13	65
n56	n3	26.1	9.85e-06	41
n56	n35	24.5	1.68e-05	40
n56	n17	24.1	0.000243	36
n56	n49	28.8	0.000922	34
n56	n37	32.1	0.00458	32
n56	n9	28.0	0.328	26
n56	n48	25.4	0.428	25
n55	n54	63.1	1.39e-92	329
n55	n53	62.3	1.17e-91	326
n55	n2	62.3	5.83e-91	324
n55	n52	62.7	7.61e-91	324
n55	n6	59.3	2.29e-87	312
n55	n5	59.1	2.99e-87	312
n55	n24	56.7	7.37e-86	307
n55	n9	57.8	4.04e-84	301
n55	n16	56.1	2.45e-81	292
n55	n30	54.9	5.12e-79	284
n55	n11	54.9	5.12e-79	284
n55	n26	55.3	1.14e-78	283
n55	n46	55.0	1.49e-78	283
n55	n44	55.0	1.49e-78	283
n55	n15	55.0	1.49e-78	283
n55	n31	54.3	7.39e-78	280
n55	n12	54.3	7.39e-78	280
n55	n25	54.8	9.65e-78	280
n55	n23	54.8	1.26e-77	280
n55	n14	54.4	2.15e-77	279
n55	n13	54.2	2.15e-77	279
n55	n8	54.6	2.15e-77	279
n55	n45	54.4	2.15e-77	279
n55	n29	55.1	2.81e-77	278
n55	n22	54.0	1.07e-76	277
n55	n27	54.0	1.07e-76	277
n55	n10	53.8	1.54e-75	273
n55	n28	53.3	9.98e-75	270
n55	n18	49.4	5.48e-73	264
n55	n42	47.8	1.49e-70	256
n55	n51	46.4	8.19e-69	250
n55	n7	47.7	1.4e-68	250
n55	n32	46.7	4.06e-68	248
n55	n21	47.9	6.93e-68	247
n55	n47	47.9	6.93e-68	247
n55	n4	46.6	1.71e-66	243
n55	n1	47.9	6.49e-66	241
n55	n36	47.0	5.49e-65	238
n55	n19	42.5	6.71e-63	231
n55	n20	43.2	2.82e-61	225
n55	n41	44.5	2.39e-60	222
n55	n33	46.7	1.18e-59	220
n55	n34	42.2	1.15e-54	203
n55	n43	36.5	4.37e-46	175
n55	n50	30.8	1.01e-26	111
n55	n40	27.1	1.85e-20	90
n55	n38	27.6	1.09e-12	64
n55	n3	27.0	1.68e-05	40
n55	n35	27.5	2.87e-05	39
n55	n17	25.3	8.34e-05	38
n55	n48	25.8	0.428	25
n55	n9	29.3	1.25	24
n54	n2	98.5	1.62e-149	518
n54	n52	68.8	9.33e-105	370
n54	n53	69.5	1.59e-104	369
n54	n24	65.1	3.11e-100	355
n54	n16	67.0	2.01e-99	352
n54	n11	64.8	2.63e-99	352
n54	n30	64.8	2.63e-99	352
n54	n13	64.8	3.43e-99	351
n54	n15	64.9	7.65e-99	350
n54	n46	64.9	7.65e-99	350
n54	n26	64.9	7.65e-99	350
n54	n44	64.9	7.65e-99	350
n54	n29	64.9	2.23e-98	349
n54	n8	64.5	6.48e-98	347
n54	n6	64.6	8.46e-98	347
n54	n12	64.0	1.44e-97	346
n54	n31	64.0	1.44e-97	346
n54	n25	64.1	3.21e-97	345
n54	n14	64.1	4.2e-97	344
n54	n45	64.1	4.2e-97	344
n54	n22	64.1	3.55e-96	341
n54	n27	64.1	3.55e-96	341
n54	n10	63.6	7.92e-96	340
n54	n23	62.6	7.41e-94	334
n54	n5	61.9	2.82e-93	332
n54	n9	62.0	1.07e-92	330
n54	n28	57.0	3.45e-83	298
n54	n32	52.1	3.57e-80	288
n54	n33	55.4	1.5e-78	283
n54	n18	51.5	4.09e-76	275
n54	n34	53.1	1.55e-75	273
n54	n42	49.6	1.31e-74	270
n54	n47	50.0	6.75e-71	257
n54	n21	50.0	6.75e-71	257
n54	n51	47.6	2.4e-68	249
n54	n4	48.5	4.09e-68	248
n54	n7	48.1	5.35e-68	248
n54	n1	48.9	5.91e-67	244
n54	n36	47.2	3.83e-66	242
n54	n19	46.7	5.01e-66	241
n54	n41	47.3	5.18e-63	231
n54	n20	44.6	2.84e-61	225
n54	n43	41.2	9.16e-52	194
n54	n50	32.1	4.43e-30	122
n54	n40	31.6	5.6e-25	105
n54	n38	28.8	6.86e-15	71
n54	n17	27.3	0.00461	32
n54	n49	25.6	0.039	29
n54	n39	23.9	0.051	28
n54	n37	28.7	0.114	27
n54	n39	20.2	2.14	23
n53	n52	91.2	4.03e-140	487
n53	n24	76.2	7.64e-115	403
n53	n6	70.3	2.81e-109	385
n53	n2	69.5	3.56e-104	368
n53	n11	68.4	1.77e-103	366
n53	n30	68.4	1.77e-103	366
n53	n13	68.4	2.31e-103	365
n53	n29	68.3	5.14e-103	364
n53	n44	68.3	6.71e-103	364
n53	n15	68.3	6.71e-103	364
n53	n46	68.3	6.71e-103	364
n53	n16	68.4	8.77e-103	363
n53	n26	68.3	1.15e-102	363
n53	n5	67.3	2.55e-102	362
n53	n22	66.8	2.55e-102	362
n53	n27	66.8	2.55e-102	362
n53	n12	66.9	2.16e-101	359
n53	n31	66.9	2.16e-101	359
n53	n25	67.2	3.68e-101	358
n53	n23	67.2	6.28e-101	357
n53	n45	66.8	8.21e-101	357
n53	n8	67.2	8.21e-101	357
n53	n14	66.8	8.21e-101	357
n53	n10	67.3	5.32e-100	354
n53	n9	63.2	1.23e-96	343
n53	n28	56.5	2.03e-83	299
n53	n33	56.9	4.52e-83	298
n53	n34	56.1	7.22e-81	290
n53	n32	52.1	2.84e-77	278
n53	n42	51.3	8.26e-77	277
n53	n18	50.2	2.25e-74	269
n53	n47	50.2	1.23e-72	263
n53	n21	50.2	1.23e-72	263
n53	n36	49.2	8e-72	260
n53	n7	48.5	1.97e-70	256
n53	n51	48.5	2.57e-70	255
n53	n1	48.7	4.86e-69	251
n53	n4	47.4	8.28e-69	250
n53	n19	46.1	1.32e-66	243
n53	n41	46.0	2.11e-64	236
n53	n20	42.8	2.42e-60	222
n53	n43	43.2	3.38e-54	202
n53	n50	31.8	3.63e-32	129
n53	n40	28.6	1.21e-19	87
n53	n38	25.3	3.91e-10	55
n53	n3	24.1	1.7e-05	40
n53	n35	23.1	2.9e-05	39
n53	n39	25.7	0.00271	33
n53	n17	24.1	0.0079	31
n53	n49	25.6	0.0176	30
n53	n39	23.7	0.0176	30
n53	n49	22.9	0.254	26
n53	n37	35.3	0.739	25
n52	n24	75.8	1.7e-114	402
n52	n6	70.3	1.4e-108	382
n52	n16	68.6	1.22e-104	369
n52	n2	68.5	6.07e-104	367
n52	n29	68.4	1.04e-103	366
n52	n13	68.2	1.04e-103	366
n52	n11	67.8	2.31e-103	365
n52	n30	67.8	2.31e-103	365
n52	n26	68.1	5.14e-103	364
n52	n15	67.7	8.77e-103	363
n52	n46	67.7	8.77e-103	363
n52	n44	67.7	8.77e-103	363
n52	n22	66.9	3.33e-102	361
n52	n27	66.9	3.33e-102	361
n52	n31	67.0	1.65e-101	359
n52	n12	67.0	1.65e-101	359
n52	n25	67.3	2.82e-101	358
n52	n8	66.9	3.68e-101	358
n52	n45	66.9	6.28e-101	357
n52	n14	66.9	6.28e-101	357
n52	n23	66.9	1.83e-100	356
n52	n5	65.4	4.07e-100	354
n52	n10	66.7	6.95e-100	354
n52	n9	59.8	4.08e-92	328
n52	n28	58.4	2.17e-85	305
n52	n33	59.0	3.24e-81	292
n52	n34	58.6	1.04e-79	287
n52	n32	54.4	6.76e-79	284
n52	n42	50.6	1.56e-75	273
n52	n18	49.1	5.01e-74	268
n52	n7	49.4	5.19e-71	258
n52	n51	50.0	5.74e-70	254
n52	n47	48.3	2.18e-69	252
n52	n21	48.3	2.18e-69	252
n52	n36	47.7	4.86e-69	251
n52	n4	47.4	6.34e-69	251
n52	n19	47.8	1.41e-68	250
n52	n1	47.5	1.73e-66	243
n52	n41	43.4	2.18e-61	226
n52	n20	44.6	4.12e-60	221
n52	n43	42.5	2.42e-52	196
n52	n50	31.1	6.85e-31	124
n52	n40	29.0	2.07e-19	86
n52	n38	25.3	3.91e-10	55
n52	n3	24.1	5.84e-06	42
n52	n35	23.1	9.97e-06	41
n52	n39	27.0	0.00271	33
n52	n17	24.1	0.0103	31
n52	n49	26.6	0.0103	31
n52	n39	26.0	0.03	29
n52	n37	33.3	0.739	25
n52	n49	24.6	2.81	23
n51	n20	62.0	6.37e-108	381
n51	n36	60.1	1.2e-106	376
n51	n7	56.6	2.19e-100	356
n51	n19	56.0	1.57e-98	349
n51	n18	55.4	1.69e-84	303
n51	n42	54.7	2.88e-84	302
n51	n4	52.8	7.34e-80	287
n51	n41	50.7	4.45e-77	278
n51	n21	52.8	2.21e-76	276
n51	n47	52.8	2.21e-76	276
n51	n1	53.0	2.44e-75	272
n51	n46	50.2	4.61e-74	268
n51	n44	50.2	4.61e-74	268
n51	n15	50.2	4.61e-74	268
n51	n14	47.9	7.86e-74	267
n51	n45	47.9	7.86e-74	267
n51	n30	53.0	1.03e-73	267
n51	n11	53.0	1.03e-73	267
n51	n25	47.5	2.29e-73	266
n51	n29	49.5	3.9e-73	265
n51	n31	51.9	5.09e-73	265
n51	n12	51.9	5.09e-73	265
n51	n26	52.6	5.09e-73	265
n51	n22	50.5	6.65e-73	264
n51	n27	50.5	6.65e-73	264
n51	n6	52.3	1.48e-72	263
n51	n8	52.6	1.48e-72	263
n51	n10	52.6	1.48e-72	263
n51	n13	51.9	1.64e-71	260
n51	n43	45.4	3.65e-71	258
n51	n5	47.7	1.81e-70	256
n51	n23	49.1	3.09e-70	255
n51	n24	48.7	1.3e-68	250
n51	n16	48.3	1.7e-68	250
n51	n2	47.6	2.21e-68	249
n51	n33	46.1	1.21e-66	243
n51	n9	46.0	1.59e-66	243
n51	n34	46.5	1.49e-64	236
n51	n32	45.9	4.78e-63	231
n51	n28	42.4	1.94e-56	210
n51	n50	29.1	5.52e-27	112
n51	n40	26.4	5.18e-17	79
n51	n38	24.7	3.25e-11	59
n51	n37	29.3	0.000226	37
n51	n3	25.2	0.00112	34
n51	n35	25.2	0.00191	33
n51	n49	25.6	0.00326	33
n50	n1	35.6	2.69e-38	149
n50	n41	36.8	2.97e-37	146
n50	n7	32.7	6.62e-37	144
n50	n16	33.6	2.13e-35	139
n50	n47	32.5	4.75e-35	138
n50	n21	32.5	4.75e-35	138
n50	n14	34.3	8.1e-35	138
n50	n45	34.3	8.1e-35	138
n50	n12	34.3	8.1e-35	138
n50	n31	34.3	8.1e-35	138
n50	n13	33.9	1.38e-34	137
n50	n25	33.9	2.36e-34	136
n50	n8	33.7	3.08e-34	136
n50	n15	33.7	4.02e-34	135
n50	n19	32.9	4.02e-34	135
n50	n44	33.7	4.02e-34	135
n50	n46	33.7	4.02e-34	135
n50	n11	33.7	4.02e-34	135
n50	n30	33.7	4.02e-34	135
n50	n34	34.8	6.85e-34	134
n50	n33	32.1	6.85e-34	134
n50	n10	33.7	8.95e-34	134
n50	n29	33.5	1.17e-33	134
n50	n23	34.0	1.17e-33	134
n50	n26	33.3	1.17e-33	134
n50	n27	33.6	2.6e-33	132
n50	n22	33.6	2.6e-33	132
n50	n42	32.4	4.44e-33	132
n50	n9	32.6	2.2e-32	129
n50	n4	32.6	1.09e-31	127
n50	n18	29.8	4.6e-30	122
n50	n2	31.7	2.98e-29	119
n50	n6	29.4	4.3e-28	115
n50	n5	30.9	1.25e-27	114
n50	n24	30.3	1.63e-27	113
n50	n36	28.6	1.38e-26	110
n50	n20	26.2	7.59e-25	104
n50	n43	28.8	1.69e-24	103
n50	n32	27.8	3.19e-23	99
n50	n28	28.2	2.7e-22	96
n50	n40	25.9	8.13e-19	84
n50	n38	26.2	3.1e-10	56
n50	n37	25.0	0.118	27
n50	n49	24.7	1.7	23
n49	n37	66.2	5.18e-103	364
n49	n39	34.9	1.03e-34	137
n49	n48	30.1	4.48e-30	122
n49	n21	30.8	5.89e-06	42
n49	n47	30.8	5.89e-06	42
n49	n27	30.5	7.69e-06	41
n49	n22	30.5	7.69e-06	41
n49	n23	29.8	1.71e-05	40
n49	n7	27.1	2.92e-05	39
n49	n16	29.0	2.92e-05	39
n49	n25	27.5	3.82e-05	39
n49	n36	29.3	4.98e-05	39
n49	n45	28.2	6.51e-05	38
n49	n12	28.2	6.51e-05	38
n49	n14	28.2	6.51e-05	38
n49	n18	25.6	6.51e-05	38
n49	n31	28.2	6.51e-05	38
n49	n29	27.5	8.5e-05	38
n49	n19	25.2	0.000111	37
n49	n4	27.5	0.000145	37
n49	n13	28.2	0.000323	36
n49	n26	28.2	0.000323	36
n49	n15	28.2	0.000422	35
n49	n11	28.2	0.000422	35
n49	n30	28.2	0.000422	35
n49	n32	29.2	0.000422	35
n49	n44	28.2	0.000422	35
n49	n46	28.2	0.000422	35
n49	n8	28.2	0.000551	35
n49	n10	28.2	0.000551	35
n49	n35	30.1	0.000551	35
n49	n1	27.3	0.00072	35
n49	n42	22.7	0.00357	32
n49	n43	22.3	0.00796	31
n49	n33	26.6	0.0104	31
n49	n20	50.0	0.0136	30
n49	n9	29.8	0.0177	30
n49	n6	28.2	0.0302	29
n49	n5	27.5	0.0395	29
n49	n2	25.6	0.0395	29
n49	n3	26.7	0.088	28
n49	n34	27.3	0.115	27
n49	n24	25.8	0.15	27
n49	n33	22.6	0.334	26
n49	n5	22.7	0.334	26
n49	n38	26.9	0.437	25
n49	n6	24.8	0.437	25
n49	n38	23.7	0.57	25
n49	n28	24.3	0.973	24
n49	n12	30.0	1.27	24
n49	n13	30.0	1.27	24
n49	n45	30.0	1.27	24
n49	n29	30.0	1.27	24
n49	n25	30.0	1.27	24
n49	n31	30.0	1.27	24
n49	n14	30.0	1.27	24
n49	n32	25.0	2.17	23
n49	n27	27.4	3.7	22
n49	n16	24.2	3.7	22
n49	n22	27.4	3.7	22
n49	n46	27.5	6.31	22
n49	n44	27.5	6.31	22
n49	n42	45.0	6.31	22
n49	n10	44.4	6.31	22
n49	n11	27.5	6.31	22
n49	n15	27.5	6.31	22
n49	n30	27.5	6.31	22
n49	n8	27.5	6.31	22
n49	n26	27.5	6.31	22
n48	n37	27.9	1.39e-26	110
n48	n39	25.5	8.16e-19	84
n47	n21	100.0	2.31e-179	618
n47	n1	78.6	3.38e-130	455
n47	n4	73.8	7.81e-119	417
n47	n18	66.1	2.79e-108	382
n47	n42	64.2	5.62e-101	357
n47	n36	54.5	1.82e-75	273
n47	n7	49.7	6.92e-75	271
n47	n20	49.0	5.86e-74	268
n47	n22	49.7	4.96e-73	265
n47	n27	49.7	4.96e-73	265
n47	n5	50.4	1.03e-70	257
n47	n15	48.6	1.35e-70	257
n47	n46	48.6	1.35e-70	257
n47	n44	48.6	1.35e-70	257
n47	n23	49.0	6.71e-70	254
n47	n2	48.9	6.71e-70	254
